image_path,description,label
images\img_000_bus.jpg,a white bus is parked by the roadside,match
images\img_000_bus.jpg,a modern glass skyscraper against a blue sky,irrelevant
images\img_001_dog.jpg,a people is sitting on the sofa holding two dogs in his arms,match
images\img_001_dog.jpg,a steaming cup of black coffee on a wooden table,irrelevant
images\img_002_sunset.jpg,Snow-covered ground under the sunset,match
images\img_002_sunset.jpg,a vintage typewriter sitting on an oak desk,irrelevant
images\img_003_mountain.jpg,The green forest blends with the blue sky,match
images\img_003_mountain.jpg,a plate of freshly baked chocolate chip cookies,irrelevant
images\img_004_pizza.jpg,a slice of pepperoni pizza fresh from the oven,match
images\img_004_pizza.jpg,a wild tiger walking through the jungle,irrelevant
images\img_005_sushi.jpg,a plate of rice served with seafood,match
images\img_005_sushi.jpg,a lighthouse standing on a rocky cliff by the sea,irrelevant
images\img_006_castle.jpg,a historic castle perched on a green hilltop,match
images\img_006_castle.jpg,a dolphin jumping out of the blue ocean,irrelevant
images\img_007_bridge.jpg,a park beside the water,match
images\img_007_bridge.jpg,a bowl of hot ramen with sliced eggs and spring onion,irrelevant
images\img_008_beach.jpg,a tropical beach with crystal-clear turquoise water,match
images\img_008_beach.jpg,a microscope on a laboratory bench with glass slides,irrelevant
images\img_009_flower.jpg,a field full of blooming lavender under sunlight,match
images\img_009_flower.jpg,a chess board mid-game with pieces scattered around,irrelevant
images\img_010_forest.jpg,a lush green forest path in spring,match
images\img_010_forest.jpg,a shiny electric guitar leaning against an amplifier,irrelevant
images\img_011_bird.jpg,a bird in flight,match
images\img_011_bird.jpg,a steam locomotive pulling into an old railway station,irrelevant
images\img_012_coffee.jpg,a steaming cup of black coffee on a wooden table,match
images\img_012_coffee.jpg,a snowy mountain peak reflecting in a lake,irrelevant
images\img_013_car.jpg,a car covered with a sunshade cloth,match
images\img_013_car.jpg,a tropical beach with crystal-clear turquoise water,irrelevant
images\img_014_horse.jpg,a horse galloping across an open field,match
images\img_014_horse.jpg,a modern glass skyscraper against a blue sky,irrelevant
